Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
2, 0.75, 0.95, 14, 5, 1
 3, 0.82, 0.89, 21, 18, 5
 4, 0.77, 0.74, 23, 12, 12
 5, 0.86, 0.87, 90, 0, 14
 7, 0.77, 0.77, 32, 5, 11
 8, 0.7, 0.01, 1, 0, 144
 10, 0.84, 0.83, 51, 37, 18
 11, 0.78, 0.83, 28, 15, 9
 12, 0.71, 0.01, 1, 0, 136
 16, 0.74, 0.8, 35, 16, 13
 
