Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.93, 0.8, 12, 0, 3
 6, 0.83, 0.74, 9, 5, 5
 15, 0.56, 0.76, 1, 169, 55
 16, 0.83, 0.86, 41, 271, 51
 17, 1.0, 0.74, 8, 6, 5
 19, 0.5, 0.78, 11, 21, 9
 22, 0.92, 0.82, 37, 189, 49
 23, 0.7, 0.71, 2, 77, 33
 24, 0.92, 0.85, 42, 265, 54
 25, 1.0, 1.0, 2, 11, 0
 27, 0.91, 0.85, 18, 289, 53
 28, 0.58, 0.81, 1, 16, 4
 31, 0.96, 0.9, 2, 1047, 113
 33, 0.92, 0.96, 18, 167, 7
 35, 0.99, 0.95, 19, 887, 52
 
