Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
1, 0.93, 0.75, 24, 71, 32
 11, 0.86, 0.78, 23, 15, 11
 16, 0.86, 0.68, 19, 15, 16
 22, 0.77, 0.64, 6, 257, 150
 24, 0.95, 0.83, 53, 104, 32
 26, 0.72, 0.6, 8, 13, 14
 27, 0.94, 0.84, 63, 95, 30
 
