Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
30, 0.53, 0.95, 56, 147, 11
 31, 0.79, 0.87, 131, 93, 33
 32, 0.8, 0.79, 39, 61, 26
 33, 0.83, 0.76, 41, 57, 31
 34, 0.75, 0.98, 76, 47, 2
 
