Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
30, 0.53, 0.95, 18, 185, 11
 31, 0.79, 0.87, 56, 168, 33
 32, 0.8, 0.79, 13, 87, 26
 33, 0.83, 0.76, 15, 83, 31
 34, 0.75, 0.98, 31, 92, 2
 
